"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"STE-FOY (U. LAVAL)","QC","Normales","Température","Moyenne quotidienne (°C)","-11,3","-9,6","-3,8","4,0","12,0","17,1","20,0","19,1","14,3","7,2","0,7","-6,7","5,2","A"
"STE-FOY (U. LAVAL)","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,8","2,6","2,3","1,4","1,5","1,2","1,3","1,0","1,3","1,5","1,8","2,4","2,7","A"
"STE-FOY (U. LAVAL)","QC","Normales","Température","Maximum quotidien (°C)","-7,1","-4,8","0,8","8,4","17,5","22,5","25,1","24,2","19,4","11,1","4,0","-3,2","9,8","A"
"STE-FOY (U. LAVAL)","QC","Normales","Température","Minimum quotidien (°C)","-15,6","-14,4","-8,4","-0,6","6,5","11,7","14,8","13,9","9,2","3,2","-2,7","-10,2","0,6","A"
"STE-FOY (U. LAVAL)","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","6,3","6,0","12,6","19,8","26,2","28,1","28,1","27,6","27,3","19,1","14,9","9,8","",""
"STE-FOY (U. LAVAL)","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/21","2012/04/16","2020/05/29","2003/06/26","2002/07/02","2002/08/14","2010/09/01","2005/10/04","2020/11/11","2020/12/01",""," "
"STE-FOY (U. LAVAL)","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-29,0","-26,5","-21,3","-12,8","2,4","7,8","12,9","11,9","1,0","-3,1","-14,2","-27,5","",""
"STE-FOY (U. LAVAL)","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1992/01/16","1995/02/06","2017/03/11","1995/04/05","2016/05/16","2002/06/02","2000/07/19","2020/08/30","1991/09/29","2002/10/31","2018/11/22","1993/12/27",""," "
"STE-FOY (U. LAVAL)","QC","Normales","Température","Maximum extrême (°C)","12,5","12,0","20,4","27,4","32,9","35,3","34,1","34,3","34,3","26,3","22,1","13,6","",""
"STE-FOY (U. LAVAL)","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","2018/05/31","2003/06/26","2010/07/07","2002/08/14","2002/09/09","2003/10/12","1999/11/03","2020/12/01",""," "
"STE-FOY (U. LAVAL)","QC","Normales","Température","Maximum extrême le plus bas (°C)","-27,0","-25,0","-18,2","-7,5","4,0","9,5","15,5","14,7","3,0","1,0","-10,1","-23,0","",""
"STE-FOY (U. LAVAL)","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1992/01/16","1995/02/06","2017/03/11","1995/04/05","1992/05/03","2004/06/02","1998/07/01","2009/08/29","1991/09/29","2002/10/31","2012/11/30","1993/12/27",""," "
